annotation_id	run_at	result	error
00027ab87fe831e482a7eb528ccbcb9b	2026-02-26 19:29:07	fail	HTTP 403 downloading https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/704/675/GCA_003704675.1_ASM370467v1/GCA_003704675.1_ASM370467v1_genomic.fna.gz: Forbidden
04cc5a9a52e9fd74f2da46da640e689d	2026-02-26 19:29:31	success	NA
098beb88b5184f6614710a7411578be3	2026-02-26 19:30:29	success	NA
0e2824d432b5cceb3080eb4279938352	2026-02-26 19:31:15	success	NA
12ad39245ea32bf48c4c0166581938be	2026-02-26 19:33:28	success	NA
16d8ca4cf464b496ca1acfd1d90cb5f0	2026-02-26 19:34:41	success	NA
1bb99acb7e0bcbfc1c1e4d2c44f918c9	2026-02-26 19:35:06	success	NA
1fefd08acf7e76d5eb5cacd69b0fcc92	2026-02-26 19:35:32	success	NA
24a92496eea607453ad6d552d4bf7146	2026-02-26 19:35:36	fail	"FASTA index file /tmp/tmp.MMJAk0ynSC/input.fna.fai created.
double free or corruption (!prev)
/home/runner/work/BUSCO-tracker/BUSCO-tracker/scripts/01_extract_proteins.sh: line 59:  5743 Aborted                 (core dumped) gffread -g ""$FASTA_FILE"" -y ""$ALL_PROTEINS_OUTPUT"" ""$GFF_FILE""
"
2916cd0c4a5eec026a32a071c1f0df9e	2026-02-26 19:36:37	success	NA
2d4b29d4d046d48bd10d8b044e01aa56	2026-02-26 19:38:00	success	NA
318443b84a12bc87baaeb8fa145e7e2f	2026-02-26 19:38:22	success	NA
368aa83c7e39c3efe2f4a5fa5554940b	2026-02-26 19:39:06	success	NA
3b25c8908450d5cae275b3d70a442b33	2026-02-26 19:39:41	fail	"FASTA index file /tmp/tmp.NjjEqKqmBY/input.fna.fai created.
Warning: couldn't find fasta record for 'MT'!
Error: no genomic sequence available (check -g option!).
"
3fed3c775a4a55795b06cca8399d8caf	2026-02-26 19:39:41	fail	HTTP 403 downloading https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/923/745/GCA_027923745.1_AnigIFM50267_1.0/GCA_027923745.1_AnigIFM50267_1.0_genomic.fna.gz: Forbidden
447815803202b0f7f13057bdf13b02ea	2026-02-26 19:39:57	success	NA
4933818135b8ec1c21ff969df1688748	2026-02-26 19:40:24	success	NA
4d95decdec977706a73ca73d1e65a5eb	2026-02-26 19:43:44	success	NA
52526eba570abced76ab6274cacd26bd	2026-02-26 19:45:06	success	NA
567ddb695af2bd6231e440810465bc79	2026-02-26 19:46:17	success	NA
